fecha,nfp,quit_rate,job_openings
2016-06-01,247.0,2.1,5742.0
2016-07-01,373.0,2.1,5962.0
2016-08-01,141.0,2.1,5677.0
2016-09-01,306.0,2.1,5868.0
2016-10-01,98.0,2.1,5591.0
2016-11-01,118.0,2.1,5971.0
2016-12-01,225.0,2.1,5964.0
2017-01-01,220.0,2.2,5617.0
2017-02-01,218.0,2.1,5923.0
2017-03-01,124.0,2.2,5811.0
2017-04-01,205.0,2.1,6091.0
2017-05-01,205.0,2.1,5826.0
2017-06-01,203.0,2.2,6305.0
2017-07-01,189.0,2.1,6238.0
2017-08-01,147.0,2.1,6276.0
2017-09-01,89.0,2.2,6320.0
2017-10-01,141.0,2.2,6408.0
2017-11-01,223.0,2.2,6271.0
2017-12-01,151.0,2.2,6336.0
2018-01-01,137.0,2.0,6621.0
2018-02-01,394.0,2.2,6552.0
2018-03-01,226.0,2.2,6818.0
2018-04-01,140.0,2.3,6877.0
2018-05-01,322.0,2.3,7016.0
2018-06-01,218.0,2.3,7230.0
2018-07-01,60.0,2.3,7190.0
2018-08-01,257.0,2.3,7208.0
2018-09-01,81.0,2.3,7411.0
2018-10-01,169.0,2.3,7304.0
2018-11-01,90.0,2.3,7594.0
2018-12-01,192.0,2.3,7489.0
2019-01-01,251.0,2.3,7502.0
2019-02-01,7.0,2.4,7066.0
2019-03-01,228.0,2.3,7317.0
2019-04-01,296.0,2.3,7272.0
2019-05-01,27.0,2.3,7275.0
2019-06-01,220.0,2.3,7194.0
2019-07-01,99.0,2.4,7042.0
2019-08-01,232.0,2.3,7178.0
2019-09-01,196.0,2.3,7124.0
2019-10-01,95.0,2.3,7289.0
2019-11-01,207.0,2.3,6888.0
2019-12-01,127.0,2.3,6699.0
2020-01-01,237.0,2.3,7124.0
2020-02-01,262.0,2.3,6966.0
2020-03-01,-1398.0,1.9,5894.0
2020-04-01,-20469.0,1.5,4606.0
2020-05-01,2614.0,1.7,5612.0
2020-06-01,4631.0,1.9,6129.0
2020-07-01,1584.0,2.2,6530.0
2020-08-01,1566.0,2.1,6429.0
2020-09-01,949.0,2.2,6511.0
2020-10-01,690.0,2.3,6798.0
2020-11-01,273.0,2.2,6820.0
2020-12-01,-185.0,2.4,6773.0
2021-01-01,315.0,2.3,7162.0
2021-02-01,517.0,2.4,7827.0
2021-03-01,852.0,2.5,8499.0
2021-04-01,355.0,2.7,9346.0
2021-05-01,478.0,2.6,9954.0
2021-06-01,755.0,2.8,10319.0
2021-07-01,942.0,2.8,10983.0
2021-08-01,552.0,2.8,10872.0
2021-09-01,457.0,2.9,10834.0
2021-10-01,801.0,2.8,11238.0
2021-11-01,658.0,3.0,11199.0
2021-12-01,586.0,2.9,11520.0
2022-01-01,190.0,2.9,11210.0
2022-02-01,819.0,2.8,11698.0
2022-03-01,490.0,2.9,12301.0
2022-04-01,308.0,3.0,11861.0
2022-05-01,301.0,2.8,11535.0
2022-06-01,434.0,2.7,11283.0
2022-07-01,714.0,2.6,11576.0
2022-08-01,290.0,2.8,10092.0
2022-09-01,220.0,2.7,10800.0
2022-10-01,357.0,2.6,10447.0
2022-11-01,303.0,2.6,10632.0
2022-12-01,100.0,2.7,10902.0
2023-01-01,434.0,2.5,10318.0
2023-02-01,290.0,2.5,9857.0
2023-03-01,68.0,2.4,9655.0
2023-04-01,241.0,2.3,9966.0
2023-05-01,280.0,2.6,9368.0
2023-06-01,225.0,2.4,9180.0
2023-07-01,163.0,2.3,8657.0
2023-08-01,218.0,2.3,9254.0
2023-09-01,156.0,2.3,9259.0
2023-10-01,159.0,2.3,8580.0
2023-11-01,127.0,2.3,8602.0
2023-12-01,154.0,2.2,8520.0
2024-01-01,175.0,2.1,8378.0
2024-02-01,206.0,2.2,8440.0
2024-03-01,228.0,2.1,8206.0
2024-04-01,64.0,2.2,7529.0
2024-05-01,78.0,2.1,7782.0
2024-06-01,87.0,2.1,7416.0
2024-07-01,53.0,2.1,7426.0
2024-08-01,9.0,2.1,7520.0
2024-09-01,155.0,2.0,6943.0
2024-10-01,33.0,2.0,7379.0
2024-11-01,134.0,1.9,7566.0
2024-12-01,237.0,1.9,7295.0
2025-01-01,-48.0,2.0,7431.0
2025-02-01,42.0,2.0,7242.0
2025-03-01,67.0,2.2,6952.0
2025-04-01,108.0,2.0,7098.0
2025-05-01,13.0,2.1,7310.0
2025-06-01,-20.0,2.1,7204.0
2025-07-01,64.0,2.0,7089.0
2025-08-01,-70.0,2.0,6919.0
2025-09-01,76.0,1.9,7169.0
2025-10-01,-140.0,1.9,7170.0
2025-11-01,41.0,2.0,6846.0
2025-12-01,-17.0,2.0,6550.0
2026-01-01,160.0,2.0,7240.0
2026-02-01,-133.0,1.9,6882.0
2026-03-01,178.0,1.9,6.9
