fecha,us_gdp,eu_gdp,cn_gdp,jp_gdp,br_gdp,ar_gdp
1995-01-01,2.6844307317787,2.46938801978264,11.0328121562746,2.6309996164206,4.2237936336472,-2.84520961057079
1996-01-01,3.77277269119453,1.74279875100405,9.97619992053447,3.13387099272759,2.20886405051482,5.52668982715234
1997-01-01,4.44712793566428,2.76386635331764,9.2876465280865,0.981228732290873,3.39484598531597,8.1110467707457
1998-01-01,4.48313335374613,3.00046427355869,7.92079207933551,-1.27033049466078,0.338097901952338,3.85017885156228
1999-01-01,4.78842504725272,3.00994305317883,7.7370030581299,-0.333929957687772,0.467937566679467,-3.38545704063269
2000-01-01,4.07758575682804,3.90141358203564,8.58643201808462,2.76464755136783,4.38794944364869,-0.78899893905691
2001-01-01,0.955538348341605,2.18509855153397,8.31263887091522,0.386103426142029,1.3898964044581,-4.40883968258557
2002-01-01,1.70044732643726,0.946766858097888,9.24339326638321,0.0419624992862282,3.05346185683619,-10.8944848285903
2003-01-01,2.79560596320081,0.75319113715031,10.1181928640117,1.53512549946694,1.14082899877101,8.83704079576924
2004-01-01,3.84777169556921,2.31187462582069,10.1314073631003,2.18611569439318,5.75996463685998,9.02957330068152
2005-01-01,3.48354993555606,1.77166717086934,11.458238455067,1.80390087215821,3.20213206216255,8.85165992013437
2006-01-01,2.78453963650701,3.32457136193729,12.6746751655235,1.3723501275831,3.96198870899485,8.04715150043027
2007-01-01,2.00385829784946,3.01116848351764,14.1499854947127,1.48396941157472,6.06987060733128,9.00765087504757
2008-01-01,0.113587249881704,0.410531246374063,9.67024588602851,-1.22428900061713,5.09419544811998,4.05723310346406
2009-01-01,-2.57650022958367,-4.48276627207102,9.40269972778044,-5.69323635892741,-0.12581200299141,-5.91852507634947
2010-01-01,2.69519257744442,2.11823129195227,10.5962719761682,4.09791791943181,7.52822581812151,10.1253981561002
2011-01-01,1.56440685763506,1.7775447306567,9.4613358870736,0.0238095237995424,3.97442307944702,6.00395169280579
2012-01-01,2.28911338669843,-0.920856755560266,7.85617427055587,1.37475099905274,1.92117598509462,-1.0264204544321
2013-01-01,2.11783009790057,-0.166724880410968,7.77872409446717,2.00510017681211,3.0048226702888,2.40532378079436
2014-01-01,2.52381981363968,1.45587546223307,7.46190028229434,0.296205514141889,0.503955740273241,-2.51261532081394
2015-01-01,2.94555045484053,2.14365367393994,6.97878002657477,1.56062669680782,-3.54576339347278,2.73115982828944
2016-01-01,1.81945147788167,1.80158112775391,6.77555562837017,0.753826745789127,-3.2759169063211,-2.08032784377811
2017-01-01,2.45762229852507,2.62262590499378,6.8912663621211,1.67533175173359,1.32286905390815,2.81850297775918
2018-01-01,2.96650506901305,1.77991130879937,6.75671800166833,0.643391023533141,1.78366676137003,-2.61739646282038
2019-01-01,2.58382533412825,1.62263181033828,6.06850235053705,-0.402169200894946,1.22077782271943,-2.00086100285785
2020-01-01,-2.16302914036166,-6.05674425052126,2.34018843078414,-4.16876457146743,-3.27675879612903,-9.9004848136464
2021-01-01,6.05505293244555,6.43713755486188,8.57008513166322,2.69657404187188,4.7626043797061,10.4418119882506
2022-01-01,2.51237531986017,3.6592192433758,3.1341888719577,0.941998775483285,3.01669435408112,6.02074537534855
2023-01-01,2.88755600749487,0.473405522226571,5.41484330099675,1.47503481053384,3.24165532813583,-1.85578803046339
2024-01-01,2.79300127716779,0.911910157337687,4.9773565917572,0.104309021773304,3.41931516597739,-1.34293072157739
2025-01-01,1.8,0.8,4.6,0.6,2.3,5.0
2026-01-01,1.7,1.2,4.5,0.7,2.0,4.7
2027-01-01,2.1,1.5,4.3,0.9,2.2,4.0
2028-01-01,2.1,1.5,4.0,0.6,2.4,3.8
2029-01-01,1.9,1.5,3.7,0.6,2.5,3.5
2030-01-01,1.8,1.4,3.3,0.6,2.5,3.2
2031-01-01,1.8,1.4,3.3,0.6,2.5,3.0
