fecha,riesgo_pais
2021-04-08,1608.0
2021-04-09,1614.0
2021-04-12,1586.0
2021-04-13,1592.0
2021-04-14,1578.0
2021-04-15,1605.0
2021-04-16,1601.0
2021-04-19,1590.0
2021-04-20,1594.0
2021-04-21,1597.0
2021-04-22,1581.0
2021-04-23,1578.0
2021-04-26,1559.0
2021-04-27,1539.0
2021-04-28,1545.0
2021-04-29,1557.0
2021-04-30,1551.0
2021-05-03,1562.0
2021-05-04,1560.0
2021-05-05,1567.0
2021-05-06,1578.0
2021-05-07,1580.0
2021-05-10,1591.0
2021-05-11,1607.0
2021-05-12,1596.0
2021-05-13,1592.0
2021-05-14,1547.0
2021-05-17,1513.0
2021-05-18,1504.0
2021-05-19,1518.0
2021-05-20,1519.0
2021-05-21,1537.0
2021-05-24,1532.0
2021-05-25,1528.0
2021-05-26,1514.0
2021-05-27,1506.0
2021-05-28,1508.0
2021-05-31,1508.0
2021-06-01,1498.0
2021-06-02,1480.0
2021-06-03,1498.0
2021-06-04,1506.0
2021-06-07,1507.0
2021-06-08,1492.0
2021-06-09,1470.0
2021-06-10,1474.0
2021-06-11,1466.0
2021-06-14,1476.0
2021-06-15,1483.0
2021-06-16,1473.0
2021-06-17,1496.0
2021-06-18,1501.0
2021-06-21,1522.0
2021-06-22,1536.0
2021-06-23,1532.0
2021-06-24,1556.0
2021-06-25,1573.0
2021-06-28,1587.0
2021-06-29,1592.0
2021-06-30,1596.0
2021-07-01,1585.0
2021-07-02,1590.0
2021-07-05,1590.0
2021-07-06,1607.0
2021-07-07,1602.0
2021-07-08,1611.0
2021-07-09,1600.0
2021-07-12,1599.0
2021-07-13,1589.0
2021-07-14,1582.0
2021-07-15,1595.0
2021-07-16,1595.0
2021-07-19,1621.0
2021-07-20,1606.0
2021-07-21,1597.0
2021-07-22,1597.0
2021-07-23,1581.0
2021-07-26,1587.0
2021-07-27,1601.0
2021-07-28,1600.0
2021-07-29,1593.0
2021-07-30,1591.0
2021-08-02,1595.0
2021-08-03,1595.0
2021-08-04,1589.0
2021-08-05,1580.0
2021-08-06,1573.0
2021-08-09,1579.0
2021-08-10,1564.0
2021-08-11,1565.0
2021-08-12,1538.0
2021-08-13,1566.0
2021-08-16,1589.0
2021-08-17,1589.0
2021-08-18,1589.0
2021-08-19,1604.0
2021-08-20,1598.0
2021-08-23,1572.0
2021-08-24,1547.0
2021-08-25,1538.0
2021-08-26,1542.0
2021-08-27,1538.0
2021-08-30,1509.0
2021-08-31,1513.0
2021-09-01,1493.0
2021-09-02,1482.0
2021-09-03,1487.0
2021-09-06,1487.0
2021-09-07,1477.0
2021-09-08,1504.0
2021-09-09,1528.0
2021-09-10,1538.0
2021-09-13,1483.0
2021-09-14,1501.0
2021-09-15,1490.0
2021-09-16,1496.0
2021-09-17,1512.0
2021-09-20,1576.0
2021-09-21,1597.0
2021-09-22,1612.0
2021-09-23,1598.0
2021-09-24,1619.0
2021-09-27,1631.0
2021-09-28,1597.0
2021-09-29,1589.0
2021-09-30,1607.0
2021-10-01,1611.0
2021-10-04,1613.0
2021-10-05,1592.0
2021-10-06,1588.0
2021-10-07,1582.0
2021-10-08,1602.0
2021-10-11,1602.0
2021-10-12,1617.0
2021-10-13,1625.0
2021-10-14,1629.0
2021-10-15,1629.0
2021-10-18,1644.0
2021-10-19,1639.0
2021-10-20,1638.0
2021-10-21,1653.0
2021-10-22,1672.0
2021-10-25,1667.0
2021-10-26,1664.0
2021-10-27,1669.0
2021-10-28,1694.0
2021-10-29,1712.0
2021-11-01,1728.0
2021-11-02,1741.0
2021-11-03,1737.0
2021-11-04,1746.0
2021-11-05,1726.0
2021-11-08,1716.0
2021-11-09,1731.0
2021-11-10,1744.0
2021-11-11,1744.0
2021-11-12,1734.0
2021-11-15,1684.0
2021-11-16,1707.0
2021-11-17,1724.0
2021-11-18,1741.0
2021-11-19,1750.0
2021-11-22,1780.0
2021-11-23,1798.0
2021-11-24,1821.0
