fecha,emae,emae_desest,ipi,exportaciones,importaciones,resultado_primario,resultado_financiero,recaudacion,ventas_supermercados,patentamiento,ripte,salario_real,balanza_comercial
2021-04-01,147.28084401862384,139.4642463826445,125.52085964453052,6143.0,4673.0,-11.444899999999793,28.12609999999999,817.8821230440499,102742.17864234994,8574.0,80501.97,,1470.0
2021-05-01,151.16932233869107,138.97237834209403,121.68405865362826,6813.0,5141.0,25.71358999999973,88.4451,862.47993573646,104997.65823470998,9606.0,81464.51,,1672.0
2021-06-01,148.97961710860534,141.49305609851737,128.59837307531353,7010.0,5909.0,-153.2174800000001,47.56410000000004,922.85332154597,111477.59454618998,8572.0,84513.57,,1101.0
2021-07-01,142.42591306035797,141.38117057908835,131.05026656085312,7252.0,5715.0,-98.57029999999992,62.165,933.20016775295,120904.09831748003,7720.0,88274.02,,1537.0
2021-08-01,140.9749407277772,143.31590238415345,132.9987929128236,8099.0,5754.0,-124.83549999999951,66.00340000000003,1005.3060645306,120181.53094271998,9211.0,90340.08,,2345.0
2021-09-01,141.2960890902841,144.12507279457796,132.80407745438578,7570.0,5886.0,291.4283999999998,51.18399999999999,976.31414248594,118585.47217123004,10544.0,94157.71,,1684.0
2021-10-01,139.5147586996789,143.32018242264803,130.03163702788962,,5247.0,-209.1687000000003,62.65850000000003,1018.78323339976,136000.6433463,,97538.78,,
2021-11-01,143.7518776188886,145.6282008947839,133.5955966896043,,5767.0,-134.6528999999999,78.03770000000004,1034.96427299379,135950.778849373,,100590.14,,
2021-12-01,147.2298783181341,149.65215293879575,127.32258878895958,,6216.0,-496.3436000000005,213.49230000000006,1179.8898214528194,178866.72124565011,,102589.87,,
2022-01-01,139.6379616122818,148.50300074015578,110.45223892022884,,5251.0,-16.698033446000192,20.8784,1171.9430637611401,149697.6146283681,,107358.35,,
2022-02-01,137.8495135250759,150.71219600987763,116.86553670599886,,5634.0,-76.28349999999976,42.058199999999985,1166.51424060695,148406.52931365796,,112413.82,,
2022-03-01,153.9308507942523,150.36649250775957,136.06417977063688,,7083.0,-99.75330000000005,46.59460000000004,1241.0889571171201,164321.07485165016,,121220.45,,
2022-04-01,157.661692173444,152.26721240793535,131.11057688323166,,6883.0,-79.18480000000028,141.8067,1341.59535611988,173047.71534077998,,128406.32,,
2022-05-01,164.6893631140829,152.22665108010588,135.95623391042966,,7886.0,-162.41174657899978,66.68409999999997,1551.3699628337602,175360.23953115992,,133595.77,,
2022-06-01,161.45483428121702,154.32065688488396,137.74172355073372,,8664.0,-321.64440000000013,38.51620000000001,1680.9013072303799,189510.26816635192,,141289.4,,
2022-07-01,152.4453874358741,152.5203863881395,137.83236809148204,,8289.0,-1.9453000000002796,30.816599999999976,1745.17810466373,220952.50714078714,,148811.85,,
2022-08-01,151.4657389160673,151.65878749519123,142.69539492532036,,7837.0,-210.05180000000027,-65.09440000000008,1731.3194924793502,218261.20960020195,,155611.28,,
2022-09-01,149.17434970526307,150.7087508549645,137.89850280383965,,7137.0,80.62429999999958,-5.2205,2127.18067389125,223841.29955893997,,165421.01,,
2022-10-01,146.55439616164352,149.06554743419156,133.9217994277668,,6079.0,-103.0491000000008,47.6634,1964.05635257018,256894.810875496,,174436.9,,
2022-11-01,148.0304949294996,148.29221401437047,134.14810212988814,,5762.0,-227.83829999999932,41.936300000000045,1953.8596578480103,272973.76815517305,,184210.25,,
2022-12-01,146.1808063380454,148.43349371359295,123.35551311628166,,5017.0,-441.512,4.326400000000024,2307.4756056066203,349050.81883446977,,194175.11,,
2023-01-01,143.03462349514643,149.92114342631578,117.35959829400518,,5367.98151918,-203.93830000000028,12.796199999999951,2265.96179873514,307263.8264882069,,201580.26,,
2023-02-01,137.26646276487918,150.1002900309666,114.97961805150167,,5028.5955485,-228.13400000000024,32.72939999999996,2126.33789725611,309570.09000116994,,218543.91,,
2023-03-01,155.06501366860087,150.75256289433395,140.60284318567005,,6845.60693653,-257.8554999999998,-13.745599999999977,2336.94238424853,351601.0236392711,,239882.73,,
2023-04-01,150.05952685002168,147.53224583499846,133.35350382480027,,6091.24338786,-331.3727999999996,62.01690000000002,2551.51144943979,374859.12512047985,,263481.22,,
2023-05-01,153.8108541920872,145.62328742845165,137.3370382911086,,7385.90273979,-247.65089999999944,125.17380000000004,3178.4536382806496,374434.43296447,,279820.37,,
2023-06-01,152.59547604983808,146.08926594642224,134.27318455353014,,7247.65177014,-611.742500000001,128.69209999999998,3517.25761702437,413276.9794247101,,302562.69,,
2023-07-01,150.20312548746972,148.6911839315234,132.37164756745275,,6760.68283102,-334.36599999999953,165.10579999999993,3571.1980279958907,467388.0861971698,,324997.28,,
2023-08-01,151.92217936039572,150.0285645140801,138.3630070813502,,6884.65869927,-36.964399999999905,113.48890000000014,4062.43179948446,518751.70164604,,344057.43,,
2023-09-01,148.41237963196167,149.643680077251,133.61988928272442,,6525.13384264,-380.47340000000037,97.43919999999996,4303.33513137483,563540.3365967802,,376594.32,,
2023-10-01,147.5138130289386,148.00946878449926,133.0091904493393,,5838.87675839,-330.33819999999923,59.65690000000014,4466.09548932231,682264.2936607599,,420706.55,,
2023-11-01,146.36635231658468,146.35986201157135,127.5781512965671,,5481.9345271,-210.48439999999945,91.47209999999986,4679.6098573770405,735686.0874721098,,447079.57,,
2023-12-01,139.342627273609,142.8408797734873,107.40382708053018,,4255.34820905,-1991.3161000000007,170.16909999999973,5922.687184860991,1116024.75175575,,484298.4,,
2024-01-01,137.37335131476613,143.50372627874964,102.98323083293734,,4603.95464722,2010.7455000000004,51.15629999999993,7699.88738525299,1070336.8952835703,,555269.16,,
2024-02-01,133.46450585818494,143.73405745303077,103.75102024796448,,4118.05743199,1232.524500000001,114.1253999999998,7249.313922219569,1159627.5718536095,,619007.05,,
2024-03-01,142.39572369405855,142.0898066454663,110.46572537113644,,4331.57077283,625.0340999999978,126.26620000000008,7726.458691607789,1384251.3410202302,,705832.58,,
2024-04-01,147.25689957052242,141.12508437171982,111.2965219356007,,4704.52137908,264.95160000000055,182.0366000000001,8663.813172912249,1294639.3233574093,,819501.72,,
2024-05-01,156.76909867816687,142.83832491106693,116.71976927266223,,5012.11741383,2332.205400000002,403.61490000000015,13379.446494132482,1361031.1409580293,,879483.08,,
2024-06-01,147.35712225489846,143.68907555762658,107.09903168407163,,4687.44850467,488.56880000000166,273.3561000000001,11297.649204464738,1488530.909849041,,933179.85,,
2024-07-01,149.65170282067913,147.28415957594882,125.0796687823528,,5727.05446816,908.2525,170.17999999999952,11910.547537222948,1537405.5429489808,,994681.38,,
2024-08-01,147.28124861080667,147.82949220892567,128.73308622570693,,4882.94094487,899.6599999999991,193.9045,11764.13136139993,1613894.7308903192,,1032410.48,,
2024-09-01,144.7966985658174,147.86734414916225,125.23673630937816,,5970.95870549,816.4471000000005,227.62750000000023,12844.456676237929,1534438.240838519,,1075145.08,,
2024-10-01,148.10394079332772,149.0772460910308,130.31068482170923,,6120.46379453,746.9205000000056,343.38049999999976,12780.38077223406,1643182.1640618003,,1146474.18,,
2024-11-01,148.1787290454886,150.8067404181716,125.39541977505476,,5249.07209284,1381.5454000000004,264.1544000000001,13026.43083240848,1756117.8423051194,,1178925.33,,
2024-12-01,148.67761660915863,151.4615806820557,116.72631144153108,,5367.41141389,-1301.0458000000008,324.0075,13015.182677521478,2167790.9465222494,,1202927.89,,
2025-01-01,146.49668450002147,151.9028548224955,110.69834791845842,,5752.75016151,2434.865299999999,56.15690000000014,15031.69308669754,1815675.5745381503,,1234658.4,,
2025-02-01,141.40461989508793,153.4935201344782,109.9879672719398,,5864.28756064,1176.9153000000008,131.5932999999998,13520.837104984199,1740067.4620109096,,1310357.8,,
2025-03-01,150.61008323211774,149.31840483832218,116.26302218891296,,6018.84797559,745.3394999999981,164.2648999999999,12733.317184110267,1984442.7793166905,,1363510.33,,
2025-04-01,158.9390811466807,152.35852404350794,121.5057903538734,,6459.95918914,845.9490999999996,327.3500999999999,13681.77096797642,1921361.3928509199,,1402606.61,,
2025-05-01,165.0745517100542,152.12964111898245,124.03478105720556,,6487.97000892,1696.9173999999966,450.29679999999956,15862.862396723382,1917328.1985491696,,1428661.3,,
2025-06-01,156.78921353289212,151.50751953044457,117.48117186410737,,6395.91011981,790.5329000000004,256.5463000000005,16184.46569467703,1949403.8292751296,,1468135.75,,
2025-07-01,153.77120720937,151.354343475533,124.22300570562876,,6853.67165011,1749.3855000000021,375.3527,16998.94453100429,1993847.0514574205,,1510680.81,,
2025-08-01,150.37620998417583,152.36783814947248,123.32131738437457,,6462.72070149,1556.8640000000034,330.55740000000014,15359.108194565668,2037395.7773903208,,1530297.32,,
2025-09-01,151.7041464938178,153.4060967432096,124.89984718005788,,7191.13346186,696.9651000000015,309.3121000000001,15444.97567077525,1894031.0541400996,,1551831.75,,
2025-10-01,152.8338843125518,153.1043629893144,126.71079320832833,,7149.97099752,823.9248000000008,405.71579999999983,16165.74165153192,2096199.3114287695,,1593047.33,,
2025-11-01,147.969804476899,152.9836862962343,114.41216425620595,,5597.99248129,2128.009399999995,400.90770000000003,15598.231874201041,2132007.3433925505,,1611851.61,,
2025-12-01,153.8525121126555,155.89520740777738,112.01647900248102,,5555.90492346,-2876.4496000000054,612.8099000000001,16527.26782514989,2713064.5783367306,,1633547.0,,
2026-01-01,149.4318861992643,156.36605874815257,106.50975135099928,,5056.67015725,3125.737299999999,-166.96100000000024,18337.6250303418,2276136.044052029,,1646344.54,,
2026-02-01,139.3365199989212,152.47861532335506,100.2969318154724,,5166.57388213,1410.6397000000068,297.2239000000001,16231.829881584608,2153749.55539168,,1734357.18,,
2026-03-01,159.9499096193297,156.4698201506535,122.14879019872028,,6115.8952783,930.284099999994,246.43449999999976,16071.02839721067,2386706.9164487314,,1775664.12,,
2026-04-01,161.71805294443547,153.90332453400006,118.60972695256136,,6203.13971368,632.8441000000015,356.2924999999993,17400.833306586188,2325437.0366299003,,1837609.35,,
2026-05-01,165.66808413621425,152.96249448451684,116.97954722246858,,6128.02645979,1924.3669000000025,506.76119999999975,21513.58789724006,2417072.8756268085,,1849727.96,,
2026-06-01,161.01331908191355,154.1172638221334,119.95209240435886,,6876.66162343,-696.8429000000023,505.7856000000001,20017.103959591703,2401885.53418792,,1915878.76,,
2026-07-01,,,118.1646866095709,,6738.67586482,2960.3327000000068,635.5430999999999,22965.441454087184,,,1946028.12,,
2026-08-01,,,,,,,,20508.53735224407,,,,,
